path,total_lines,read_lines,read_confirmed_at
"apps/api/src/modules/custom-models/providers/openai-finetuning.provider.ts",151,151,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/dna-analysis/dna-analysis.controller.ts",179,179,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/dna-analysis/dna-analysis.module.ts",12,12,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/dna-analysis/dna-analysis.service.ts",947,947,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/email/email.service.ts",622,622,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/audit.controller.ts",381,381,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/audit.service.ts",937,937,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/data-residency.controller.ts",440,440,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/data-residency.service.ts",882,882,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/enterprise/sso.service.ts",624,624,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/achievement.service.ts",25,25,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/badge.service.ts",25,25,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/gamification.controller.ts",29,29,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/gamification.module.ts",34,34,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/gamification.service.ts",350,350,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/interfaces/index.ts",155,155,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/leaderboard.service.ts",25,25,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/gamification/processors/points.processor.ts",14,14,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/integrations/integrations.module.ts",9,9,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/learning/dto/index.ts",70,70,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/learning/interfaces/index.ts",86,86,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/learning/learning.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/learning/learning.service.ts",1329,1329,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/marketplace/marketplace.controller.ts",411,411,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/marketplace/marketplace.module.ts",12,12,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/marketplace/marketplace.service.ts",951,951,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/notifications/notifications.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/notifications/notifications.service.ts",1024,1024,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompt-builder/prompt-builder.controller.ts",175,175,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompt-builder/prompt-builder.module.ts",12,12,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompt-builder/prompt-builder.service.ts",771,771,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompts/dto/index.ts",73,73,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompts/interfaces/index.ts",122,122,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompts/prompt-analysis.service.ts",97,97,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompts/prompts.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompts/prompts.service.spec.ts",216,216,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/prompts/prompts.service.ts",1122,1122,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/search/search.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/search/search.service.ts",1186,1186,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/security/prompt-security.controller.ts",500,500,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/security/prompt-security.service.ts",771,771,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/security/security.module.ts",13,13,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/skills/dto/index.ts",48,48,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/skills/interfaces/index.ts",109,109,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/skills/skills.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/skills/skills.service.ts",854,854,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/storage/storage.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/storage/storage.service.ts",717,717,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/teams/teams.module.ts",9,9,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/templates/dto/index.ts",53,53,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/templates/industry-templates.service.ts",857,857,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/templates/interfaces/index.ts",65,65,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/templates/templates.module.ts",11,11,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/templates/templates.service.ts",1028,1028,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/users/dto/index.ts",59,59,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/users/interfaces/index.ts",111,111,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/users/users.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/users/users.service.ts",1156,1156,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/version-control/git.controller.ts",404,404,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/version-control/git.module.ts",12,12,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/version-control/git.service.ts",963,963,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/websocket/websocket.gateway.ts",370,370,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/workflows/dto/workflows.dto.ts",96,96,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/workflows/workflow-executor.service.ts",577,577,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/workflows/workflows.controller.ts",84,84,"2025-08-31T03:19:33.435Z"
"apps/api/src/modules/workflows/workflows.module.ts",13,13,"2025-08-31T03:19:33.435Z"
"apps/api/test/app.e2e-spec.ts",30,30,"2025-08-31T03:19:33.435Z"
"apps/api/test/jest-e2e.json",9,9,"2025-08-31T03:19:33.435Z"
"apps/api/tsconfig.json",32,32,"2025-08-31T03:19:33.435Z"
"apps/web/.env",19,19,"2025-08-31T03:19:33.435Z"
"apps/web/.env.example",19,19,"2025-08-31T03:19:33.435Z"
"apps/web/.env.local",13,13,"2025-08-31T03:19:33.435Z"
"apps/web/__tests__/ErrorBoundary.test.tsx",155,155,"2025-08-31T03:19:33.435Z"
"apps/web/__tests__/setup.ts",95,95,"2025-08-31T03:19:33.435Z"
"apps/web/Dockerfile",66,66,"2025-08-31T03:19:33.435Z"
"apps/web/jest.config.js",31,31,"2025-08-31T03:19:33.435Z"
"apps/web/next.config.js",35,35,"2025-08-31T03:19:33.435Z"
"apps/web/next-env.d.ts",6,6,"2025-08-31T03:19:33.435Z"
"apps/web/package.json",124,124,"2025-08-31T03:19:33.435Z"
